M08,UBER,99POP,OUTROS,TOTAL,ALUGUEL,GASTOS,LIQUIDO
1,"292,69","11,2",0,"303,89",0,-170,"133,89"
2,"215,33","58,89",0,"274,22",-100,-72,"102,22"
3,"8,3","30,96",152,"191,26",-80,-100,"11,26"
4,"40,08",0,0,"40,08",0,-30,"10,08"
5,"72,93","142,02",0,"214,95",-150,-50,"14,95"
6,"172,43","142,04",0,"314,47",-120,-50,"144,47"
7,0,"137,3",0,"137,3",-100,-30,"7,3"
8,"55,3","248,33",29,"332,63",0,-187,"145,63"
9,"163,94","115,89",0,"279,83",-100,-120,"59,83"
10,"51,39","34,49",150,"235,88",-100,-73,"62,88"
11,"517,15",0,0,"517,15",-200,-100,"217,15"
12,"108,79","7,8",0,"116,59",-50,-30,"36,59"
13,"225,98","85,28",0,"311,26",-50,-150,"111,26"
14,"192,82","15,95",0,"208,77",-50,-40,"118,77"
15,"171,98","46,47",0,"218,45",0,-100,"118,45"
16,"184,24","95,63",0,"279,87",-100,-75,"104,87"
17,0,"39,28",0,"39,28",0,-35,"4,28"
18,"310,56","105,03",0,"415,59",-200,-100,"115,59"
19,"79,65","18,9",0,"98,55",-80,-15,"3,55"
20,"111,16","125,07",0,"236,23",-100,-75,"61,23"
21,0,0,0,0,0,0,0
22,"165,81","168,79",0,"334,6",-70,-125,"139,6"
23,"247,99","46,7",0,"294,69",-100,-100,"94,69"
24,"230,98","13,16",0,"244,14",-100,-78,"66,14"
25,"297,17","38,86",0,"336,03",-100,-171,"65,03"
26,"160,34","55,55",0,"215,89",-80,-34,"101,89"
27,"263,52","95,6",0,"359,12",-80,-140,"139,12"
28,"159,83","30,7",0,"190,53",-50,-30,"110,53"
29,"230,96","60,71",0,"291,67",-40,-109,"142,67"
30,"318,95","39,1",0,"358,05",-80,-100,"178,05"
31,"53,78","48,5",86,"188,28",-80,-35,"73,28"
MB,UBER,99POP,OUTROS,TOTAL,ALUGUEL,GASTOS,LIQUIDO
-,"5104,05","2058,2",417,"7579,25",-2360,-2524,"2695,25"
