M07,UBER,99POP,OUTROS,TOTAL,ALUGUEL,GASTOS,LIQUIDO
1,"98,94","89,21",0,"188,15",-80,-20,"88,15"
2,"118,67","197,87",0,"316,54",-80,-164,"72,54"
3,"97,73","67,99",0,"165,72",-80,-50,"35,72"
4,"78,72","158,96",0,"237,68",-70,-120,"47,68"
5,"19,83","231,74",10,"261,57",-100,-50,"111,57"
6,0,0,0,0,0,0,0
7,"371,66",0,0,"371,66",-100,-156,"115,66"
8,"86,65","32,73",165,"284,38",-100,"-109,28","75,1"
9,"196,81","93,42",0,"290,23",-100,-100,"90,23"
10,"173,8","96,04",0,"269,84",-100,-55,"114,84"
11,"127,87","82,77",0,"210,64",-50,-50,"110,64"
12,"209,92","112,51",0,"322,43",-78,"-107,8","136,63"
13,"79,03","24,89",0,"103,92",-78,-20,"5,92"
14,"239,02","14,61",0,"253,63",-78,-50,"125,63"
15,"285,98","40,66",1050,"1376,64",-424,-102,"850,64"
16,"5,95","23,56",0,"29,51",0,0,"29,51"
17,"105,66","152,57","143,5","401,73",-78,"-189,11","134,62"
18,"114,62","138,71",0,"253,33",-78,-100,"75,33"
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,"279,38","55,3",39,"373,68",-78,-199,"96,68"
22,"104,5","121,62",0,"226,12",-78,-80,"68,12"
23,"101,54","61,39",0,"162,93",-78,-70,"14,93"
24,"192,16","51,78",0,"243,94",-32,-100,"111,94"
25,"198,32","46,39",20,"264,71",0,-112,"152,71"
26,"205,57","146,24",0,"351,81",-125,-81,"145,81"
27,"73,55",25,0,"98,55",0,-75,"23,55"
28,"335,91","69,7",0,"405,61",-250,-75,"80,61"
29,"132,15","22,6",0,"154,75",-75,-25,"54,75"
30,248,"45,74",0,"293,74",-50,"-58,31","185,43"
31,"123,6","62,2",0,"185,8",0,-40,"145,8"
M07,UBER,99POP,OUTROS,TOTAL,ALUGUEL,GASTOS,LIQUIDO
-,"4405,54","2266,2","1427,5","8099,24",-2440,"-2358,5","3300,74"
